day;A;Am;K;S;replicate
3;365000000;0;5250000;15000000;1
4;360000000;0;0;10000000;1
5;295000000;0;0;33000000;1
6;235000000;7750000;0;19500000;1
7;225000000;27000000;0;48000000;1
8;170000000;53333333,33;0;64666666,67;1
9;230000000;105000000;0;108666666,7;1
10;460000000;200000000;0;95000000;1
11;670000000;215000000;0;50000000;1
12;180000000;120000000;0;160000000;1
13;330000000;255000000;0;95000000;1
14;200000000;120000000;0;250000000;1
15;370000000;480000000;0;170000000;1
16;566666666,7;180000000;0;93333333,33;1
17;293333333,3;283333333,3;0;96666666,67;1
18;216666666,7;196666666,7;0;83333333,33;1
19;270000000;373333333,3;0;130000000;1
20;253333333,3;673333333,3;0;123333333,3;1
21;123333333,3;703333333,3;0;46666666,67;1
22;60000000;510000000;0;80000000;1
23;25000000;675000000;0;30000000;1
24;14000000;523333333,3;0;38500000;1
25;23333333,33;1406666667;0;76666666,67;1
26;NA;NA;NA;NA;1
27;33333333,33;803333333,3;0;33333333,33;1
28;16666666,67;766666666,7;0;83333333,33;1
29;0;737500000;0;100000000;1
30;0;1250000000;0;150000000;1
31;13333333,33;976666666,7;0;120000000;1
32;6000000;866666666,7;0;183333333,3;1
33;3000000;876666666,7;0;136666666,7;1
34;15000000;1080000000;0;150000000;1
3;370000000;0;0;40000000;2
4;325000000;0;10000000;15000000;2
5;425000000;11500000;0;22000000;2
6;180000000;9500000;0;49000000;2
7;250000000;34500000;0;82250000;2
8;190000000;69666666,67;0;71000000;2
9;320000000;235000000;0;360000000;2
10;220000000;165000000;0;145000000;2
11;210000000;235000000;0;145000000;2
12;360000000;108000000;0;110000000;2
13;225000000;225000000;0;265000000;2
14;255000000;460000000;0;195000000;2
15;195000000;265000000;0;345000000;2
16;143333333,3;226666666,7;0;293333333,3;2
17;550000000;290000000;0;85000000;2
18;56666666,67;340000000;0;146666666,7;2
19;46000000;263333333,3;0;150000000;2
20;76666666,67;296666666,7;0;190000000;2
21;60000000;393333333,3;0;146666666,7;2
22;60000000;506666666,7;0;26666666,67;2
23;25000000;300000000;0;115000000;2
24;54500000;393333333,3;0;114000000;2
25;23333333,33;446666666,7;0;70000000;2
26;NA;NA;NA;NA;2
27;15000000;880000000;0;60000000;2
28;26750000;235750000;0;49500000;2
29;7500000;272500000;0;57500000;2
30;30000000;355000000;0;145000000;2
31;16000000;890000000;0;113333333,3;2
32;10000000;810000000;0;113333333,3;2
33;20000000;343333333,3;0;173333333,3;2
34;45000000;375000000;0;135000000;2
3;410000000;0;6500000;18250000;3
4;330000000;0;5000000;0;3
5;360000000;2500000;0;18500000;3
6;225000000;3000000;0;46000000;3
7;300000000;30000000;0;48000000;3
8;270000000;30250000;0;45000000;3
9;305000000;145000000;0;160000000;3
10;230000000;115000000;0;145000000;3
11;695000000;40000000;0;45000000;3
12;645000000;45000000;0;80000000;3
13;165000000;245000000;0;275000000;3
14;240000000;230000000;0;90000000;3
15;780000000;70000000;0;175000000;3
16;416666666,7;393333333,3;0;160000000;3
17;390000000;275000000;0;90000000;3
18;203333333,3;196666666,7;0;76666666,67;3
19;166600000;303333333,3;0;110000000;3
20;103333333,3;260000000;0;76666666,67;3
21;110000000;413333333,3;0;63333333,33;3
22;80000000;296666666,7;0;56666666,67;3
23;80000000;363300000;0;93300000;3
24;44500000;383333333,3;0;126500000;3
25;43333333,33;383333333,3;0;83333333,33;3
26;NA;NA;NA;NA;3
27;15000000;335000000;0;60000000;3
28;28250000;269500000;0;85500000;3
29;36666666,67;303333333,3;0;30000000;3
30;40000000;476666666,7;0;100000000;3
31;22750000;313333333,3;0;66666666,67;3
32;86666666,67;436666666,7;0;163333333,3;3
33;66666666,67;323333333,3;0;80000000;3
34;130000000;420000000;0;130000000;3
